Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
540,partially_sorted,0.13366,0.32912,0.00982,Success
540,reverse_sorted,0.20596,0.33932,0.11044,Success
550,random,0.19786,0.34554,0.0146,Success
550,sorted,0.08104,0.31786,0.1008,Success
550,partially_sorted,0.13102,0.32738,0.01732,Success
550,reverse_sorted,0.19218,0.3193,0.1052,Success
560,random,0.22822,0.36108,0.01238,Success
560,sorted,0.08362,0.32368,0.10554,Success
560,partially_sorted,0.13256,0.36824,0.00798,Success
560,reverse_sorted,0.2056,0.31894,0.11222,Success
570,random,0.2015,0.35184,0.0126,Success
570,sorted,0.08696,0.32522,0.10926,Success
570,partially_sorted,0.13764,0.3246,0.01402,Success
570,reverse_sorted,0.20476,0.3294,0.1245,Success
580,random,0.2267,0.3566,0.01386,Success
580,sorted,0.09038,0.33196,0.11192,Success
580,partially_sorted,0.145,0.33662,0.01772,Success
580,reverse_sorted,0.21382,0.32702,0.1215,Success
590,random,0.21072,0.35204,0.0124,Success
590,sorted,0.09318,0.33702,0.1156,Success
590,partially_sorted,0.14942,0.34186,0.01952,Success
590,reverse_sorted,0.2215,0.33718,0.12288,Success
600,random,0.21712,0.36734,0.01224,Success
600,sorted,0.09726,0.34666,0.12238,Success
600,partially_sorted,0.15134,0.34544,0.0094,Success
600,reverse_sorted,0.28522,0.35942,0.12698,Success
610,random,0.24126,0.37016,0.01254,Success
610,sorted,0.09974,0.34906,0.12618,Success
610,partially_sorted,0.15858,0.35266,0.01662,Success
610,reverse_sorted,0.24312,0.37344,0.1382,Success
620,random,0.23872,0.36844,0.0131,Success
620,sorted,0.11438,0.36048,0.12824,Success
620,partially_sorted,0.15942,0.35546,0.01926,Success
620,reverse_sorted,0.28734,0.41094,0.1478,Success
630,random,0.23502,0.3785,0.0133,Success
630,sorted,0.10394,0.35932,0.13286,Success
630,partially_sorted,0.16272,0.37186,0.0226,Success
630,reverse_sorted,0.24648,0.3732,0.13794,Success
640,random,0.23422,0.37244,0.01464,Success
640,sorted,0.11418,0.3583,0.13124,Success
640,partially_sorted,0.1619,0.36606,0.02176,Success
640,reverse_sorted,0.2555,0.35632,0.13892,Success
650,random,0.24574,0.37364,0.0129,Success
650,sorted,0.10908,0.37004,0.1397,Success
650,partially_sorted,0.1725,0.36454,0.03184,Success
650,reverse_sorted,0.2621,0.35782,0.1445,Success
660,random,0.2503,0.38858,0.0131,Success
660,sorted,0.1145,0.36426,0.1413,Success
660,partially_sorted,0.1932,0.37524,0.00964,Success
660,reverse_sorted,0.2702,0.36816,0.14656,Success
670,random,0.25776,0.39674,0.0137,Success
670,sorted,0.11682,0.37562,0.14436,Success
670,partially_sorted,0.18478,0.38996,0.01954,Success
670,reverse_sorted,0.27764,0.37358,0.16032,Success
680,random,0.26652,0.39322,0.01414,Success
680,sorted,0.11946,0.37726,0.15058,Success
680,partially_sorted,0.20048,0.39238,0.0187,Success
680,reverse_sorted,0.28534,0.3845,0.156,Success
690,random,0.26956,0.40022,0.01434,Success
690,sorted,0.12352,0.3848,0.15434,Success
690,partially_sorted,0.18332,0.41872,0.02418,Success
690,reverse_sorted,0.29602,0.39588,0.15884,Success
700,random,0.28012,0.42772,0.01494,Success
700,sorted,0.12778,0.4148,0.15998,Success
700,partially_sorted,0.20088,0.42304,0.01414,Success
700,reverse_sorted,0.30338,0.39942,0.16178,Success
710,random,0.28202,0.4189,0.01568,Success
710,sorted,0.13072,0.40482,0.16312,Success
710,partially_sorted,0.20614,0.41912,0.0185,Success
710,reverse_sorted,0.31388,0.39652,0.16916,Success
720,random,0.2921,0.45588,0.0162,Success
720,sorted,0.13448,0.42242,0.16832,Success
720,partially_sorted,0.21232,0.4265,0.02402,Success
720,reverse_sorted,0.32356,0.41608,0.18056,Success
730,random,0.3011,0.44214,0.016,Success
730,sorted,0.13812,0.4286,0.17134,Success
730,partially_sorted,0.20954,0.44094,0.01442,Success
730,reverse_sorted,0.33128,0.45648,0.1755,Success
740,random,0.30984,0.43726,0.017,Success
740,sorted,0.14256,0.4292,0.1805,Success
740,partially_sorted,0.25098,0.44008,0.02286,Success
740,reverse_sorted,0.34124,0.414,0.1844,Success
750,random,0.31638,0.43924,0.01714,Success
750,sorted,0.1479,0.42976,0.18092,Success
750,partially_sorted,0.23508,0.43918,0.01758,Success
750,reverse_sorted,0.35108,0.42198,0.19816,Success
760,random,0.3437,0.45368,0.01776,Success
760,sorted,0.14898,0.44924,0.1856,Success
760,partially_sorted,0.23416,0.4463,0.01592,Success
760,reverse_sorted,0.36224,0.43784,0.19306,Success
770,random,0.34948,0.4539,0.01776,Success
770,sorted,0.15296,0.46644,0.19162,Success
770,partially_sorted,0.24262,0.45996,0.01302,Success
770,reverse_sorted,0.36906,0.44428,0.1969,Success
780,random,0.33442,0.48022,0.01764,Success
780,sorted,0.15908,0.44254,0.19736,Success
780,partially_sorted,0.2358,0.46344,0.01568,Success
780,reverse_sorted,0.3859,0.486,0.2354,Success
790,random,0.34584,0.47628,0.0171,Success
790,sorted,0.15996,0.46652,0.2019,Success
790,partially_sorted,0.26514,0.48296,0.0269,Success
790,reverse_sorted,0.39062,0.44504,0.2036,Success
800,random,0.34838,0.5056,0.01662,Success
800,sorted,0.16464,0.46724,0.20922,Success
800,partially_sorted,0.26136,0.46978,0.02372,Success
800,reverse_sorted,0.40068,0.462,0.21944,Success
810,random,0.35642,0.47236,0.01742,Success
810,sorted,0.1693,0.46418,0.21388,Success
810,partially_sorted,0.26312,0.47918,0.02692,Success
810,reverse_sorted,0.41342,0.44852,0.21364,Success
820,random,0.36706,0.49308,0.01764,Success
820,sorted,0.2481,0.57202,0.32844,Success
820,partially_sorted,0.35382,0.51468,0.02502,Success
820,reverse_sorted,0.42494,0.48458,0.22586,Success
830,random,0.376,0.49762,0.01882,Success
830,sorted,0.196,0.4795,0.2219,Success
830,partially_sorted,0.30826,0.52534,0.02794,Success
830,reverse_sorted,0.42866,0.46866,0.22152,Success
840,random,0.39348,0.529,0.02358,Success
840,sorted,0.19218,0.48538,0.25722,Success
840,partially_sorted,0.2895,0.4804,0.02608,Success
840,reverse_sorted,0.43992,0.48998,0.22818,Success
850,random,0.39026,0.50858,0.01886,Success
850,sorted,0.18434,0.51378,0.233,Success
850,partially_sorted,0.27762,0.52404,0.02718,Success
850,reverse_sorted,0.48172,0.48048,0.23348,Success
860,random,0.40612,0.53848,0.0196,Success
860,sorted,0.20466,0.5196,0.25898,Success
860,partially_sorted,0.3028,0.54504,0.02358,Success
860,reverse_sorted,0.5012,0.55682,0.27988,Success
870,random,0.4182,0.5345,0.01914,Success
870,sorted,0.1931,0.49446,0.24492,Success
870,partially_sorted,0.31634,0.515,0.03672,Success
870,reverse_sorted,0.47962,0.51976,0.27888,Success
880,random,0.43546,0.54582,0.02344,Success
