Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
570,partially_sorted,0.13454,0.07466,0.01194,Success
570,reverse_sorted,0.19564,0.06836,0.10574,Success
580,random,0.19812,0.08722,0.0106,Success
580,sorted,0.0881,0.07182,0.10778,Success
580,partially_sorted,0.1348,0.07682,0.00946,Success
580,reverse_sorted,0.20818,0.07886,0.1275,Success
590,random,0.20136,0.0895,0.01198,Success
590,sorted,0.09026,0.07292,0.1116,Success
590,partially_sorted,0.13908,0.07738,0.01406,Success
590,reverse_sorted,0.20988,0.07754,0.10686,Success
600,random,0.20646,0.09006,0.01218,Success
600,sorted,0.09288,0.07356,0.11518,Success
600,partially_sorted,0.1606,0.08076,0.01886,Success
600,reverse_sorted,0.21728,0.07422,0.11018,Success
610,random,0.21404,0.09756,0.0127,Success
610,sorted,0.09568,0.07448,0.11896,Success
610,partially_sorted,0.1426,0.08002,0.0085,Success
610,reverse_sorted,0.22436,0.07512,0.11444,Success
620,random,0.22146,0.09758,0.01424,Success
620,sorted,0.09876,0.07532,0.12292,Success
620,partially_sorted,0.16072,0.08344,0.01116,Success
620,reverse_sorted,0.23166,0.07722,0.11956,Success
630,random,0.23052,0.0956,0.01364,Success
630,sorted,0.10214,0.07774,0.12768,Success
630,partially_sorted,0.1655,0.08408,0.00658,Success
630,reverse_sorted,0.24236,0.078,0.1218,Success
640,random,0.2427,0.10726,0.0193,Success
640,sorted,0.1049,0.07774,0.1317,Success
640,partially_sorted,0.1681,0.0842,0.01326,Success
640,reverse_sorted,0.25002,0.07738,0.12586,Success
650,random,0.24124,0.09828,0.01262,Success
650,sorted,0.11298,0.08092,0.13554,Success
650,partially_sorted,0.17654,0.1046,0.0123,Success
650,reverse_sorted,0.28404,0.10828,0.15456,Success
660,random,0.2502,0.09956,0.01304,Success
660,sorted,0.1116,0.08024,0.13986,Success
660,partially_sorted,0.17142,0.08692,0.00794,Success
660,reverse_sorted,0.27696,0.08304,0.1374,Success
670,random,0.2546,0.10156,0.01392,Success
670,sorted,0.11502,0.08384,0.14404,Success
670,partially_sorted,0.17736,0.08852,0.02162,Success
670,reverse_sorted,0.27542,0.0812,0.13666,Success
680,random,0.26322,0.10252,0.01464,Success
680,sorted,0.12404,0.08362,0.14822,Success
680,partially_sorted,0.17906,0.08942,0.00844,Success
680,reverse_sorted,0.28318,0.08304,0.1408,Success
690,random,0.27022,0.10348,0.01462,Success
690,sorted,0.12518,0.08426,0.15178,Success
690,partially_sorted,0.19334,0.10398,0.0161,Success
690,reverse_sorted,0.28866,0.08474,0.14424,Success
700,random,0.27782,0.1047,0.01476,Success
700,sorted,0.12526,0.08514,0.15652,Success
700,partially_sorted,0.19818,0.09124,0.01134,Success
700,reverse_sorted,0.3125,0.09516,0.15842,Success
710,random,0.30236,0.11362,0.01612,Success
710,sorted,0.12874,0.08626,0.16086,Success
710,partially_sorted,0.19114,0.09406,0.02362,Success
710,reverse_sorted,0.30696,0.08652,0.15618,Success
720,random,0.29636,0.12052,0.01726,Success
720,sorted,0.1329,0.08798,0.18104,Success
720,partially_sorted,0.20416,0.09506,0.01094,Success
720,reverse_sorted,0.31774,0.08798,0.15924,Success
730,random,0.29748,0.11008,0.01534,Success
730,sorted,0.13604,0.0896,0.17124,Success
730,partially_sorted,0.23236,0.12014,0.01348,Success
730,reverse_sorted,0.32388,0.08886,0.16102,Success
740,random,0.30506,0.11596,0.01464,Success
740,sorted,0.1397,0.09032,0.17566,Success
740,partially_sorted,0.2251,0.09762,0.01164,Success
740,reverse_sorted,0.33626,0.09282,0.18312,Success
750,random,0.30972,0.1121,0.01534,Success
750,sorted,0.14334,0.091,0.17928,Success
750,partially_sorted,0.23752,0.10476,0.02504,Success
750,reverse_sorted,0.37544,0.09056,0.17118,Success
760,random,0.3414,0.11558,0.01584,Success
760,sorted,0.14718,0.10926,0.19246,Success
760,partially_sorted,0.25912,0.10284,0.00988,Success
760,reverse_sorted,0.35558,0.09174,0.17264,Success
770,random,0.33692,0.12784,0.01736,Success
770,sorted,0.15106,0.09318,0.18886,Success
770,partially_sorted,0.22436,0.10082,0.01166,Success
770,reverse_sorted,0.35942,0.0936,0.18854,Success
780,random,0.33466,0.11912,0.01686,Success
780,sorted,0.15974,0.0957,0.19714,Success
780,partially_sorted,0.24318,0.10142,0.0186,Success
780,reverse_sorted,0.36908,0.09598,0.18346,Success
790,random,0.34202,0.11958,0.0165,Success
790,sorted,0.159,0.0963,0.1986,Success
790,partially_sorted,0.2627,0.13578,0.01942,Success
790,reverse_sorted,0.38796,0.10618,0.1946,Success
800,random,0.34696,0.1213,0.01612,Success
800,sorted,0.16302,0.09668,0.2071,Success
800,partially_sorted,0.2504,0.10494,0.01556,Success
800,reverse_sorted,0.40688,0.10114,0.19468,Success
810,random,0.35662,0.12252,0.01832,Success
810,sorted,0.16698,0.09876,0.20842,Success
810,partially_sorted,0.26412,0.10706,0.01212,Success
810,reverse_sorted,0.41472,0.11044,0.20742,Success
820,random,0.36616,0.12466,0.01714,Success
820,sorted,0.1711,0.10246,0.21344,Success
820,partially_sorted,0.26628,0.10684,0.0178,Success
820,reverse_sorted,0.41614,0.0995,0.20168,Success
830,random,0.37824,0.13462,0.01848,Success
830,sorted,0.17524,0.1005,0.21876,Success
830,partially_sorted,0.27716,0.10874,0.01272,Success
830,reverse_sorted,0.42642,0.1012,0.2072,Success
840,random,0.39594,0.14404,0.01976,Success
840,sorted,0.1793,0.10574,0.22414,Success
840,partially_sorted,0.28292,0.11054,0.01152,Success
840,reverse_sorted,0.43514,0.1022,0.21134,Success
850,random,0.39304,0.12854,0.0192,Success
850,sorted,0.18326,0.10334,0.22974,Success
850,partially_sorted,0.30548,0.1113,0.01196,Success
850,reverse_sorted,0.44516,0.1029,0.21662,Success
860,random,0.40922,0.13428,0.02,Success
860,sorted,0.18756,0.10848,0.23434,Success
860,partially_sorted,0.29814,0.11248,0.02276,Success
860,reverse_sorted,0.45736,0.10408,0.22182,Success
870,random,0.40976,0.13472,0.01954,Success
870,sorted,0.1923,0.10538,0.24074,Success
870,partially_sorted,0.30818,0.11376,0.01536,Success
870,reverse_sorted,0.46802,0.10534,0.2259,Success
880,random,0.43894,0.15348,0.02912,Success
880,sorted,0.19644,0.10642,0.2458,Success
880,partially_sorted,0.29538,0.11506,0.01316,Success
